config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
thr0.63_clip1.6_inh0.12_low_fatigue,40,0,1.12278,36.325,0.0,0.944337,-0.05,0.366068,0.075,-0.075,0.0,-0.125,-0.125,0.644086,0.20397,0.639258,0.173486,0.16954,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.63_clip1.6_inh0.08_low_fatigue,40,0,0.969752,32.275,0.0,0.930016,0.025,0.294011,0.125,0.075,-0.25,0.05,0.125,0.684246,0.137421,0.359123,0.146446,0.142821,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.6_inh0.08_mid_fatigue,40,0,0.917515,27.625,0.0,0.903016,-0.075,0.307432,0.075,-0.125,-0.25,-0.075,0.0,0.713079,0.025429,0.511046,0.034399,0.253209,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.63_clip2.2_inh0.08_low_fatigue,40,0,0.879724,33.25,0.0,0.9366,-0.02,0.280141,0.075,-0.05,-0.075,-0.025,-0.025,0.688001,0.083777,0.436001,0.067217,0.12571,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip1.6_inh0.08_mid_fatigue,40,0,0.855966,27.85,0.0,0.904574,-0.01,0.265538,0.075,-0.075,-0.075,0.025,0.0,0.517371,0.183794,0.354341,0.139934,0.13225,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.63_clip1.6_inh0.08_mid_fatigue,40,0,0.812802,36.3,0.0,0.932995,-0.045,0.253597,0.075,-0.1,-0.025,-0.125,-0.05,0.411665,0.084231,0.478178,0.087118,0.206795,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip2.2_inh0.08_low_fatigue,40,0,0.811505,31.75,0.0,0.930615,-0.05,0.268412,0.05,-0.1,0.0,-0.15,-0.05,0.604962,0.111777,0.329046,0.099277,0.196997,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip2.2_inh0.08_mid_fatigue,40,0,0.798154,31.8,0.0,0.925156,-0.065,0.265155,0.125,-0.125,-0.125,-0.1,-0.1,0.640291,0.137518,0.380261,0.095521,0.072185,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip1.9_inh0.12_low_fatigue,40,0,0.790219,32.7,0.0,0.934763,-0.08,0.270915,0.1,-0.2,-0.075,-0.125,-0.1,0.681114,0.055433,0.358104,0.086921,0.173003,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.63_clip1.9_inh0.08_mid_fatigue,40,0,0.789569,37.1,0.0,0.939602,-0.03,0.242591,0.1,0.025,-0.05,-0.1,-0.125,0.471233,0.110692,0.379247,0.076041,0.175742,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
