config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
thr0.64_topk3_clip1.2_inh0.18_midfat,24,0,0.70249,41.375,0.0,0.922997,-0.025,0.21328,-0.041667,0.083333,-0.041667,0.0,-0.125,0.484983,0.253398,0.192059,0.146469,-0.010507,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.2_inh0.12_midfat,24,0,0.702467,29.166667,0.125,0.810108,0.016667,0.292032,-0.125,0.166667,0.083333,0.041667,-0.083333,0.479243,0.110654,0.385907,0.230627,0.253731,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk3_clip1.5_inh0.18_midfat,24,0,0.696988,34.208333,0.0,0.91957,-0.091667,0.227819,-0.125,0.083333,0.0,-0.125,-0.291667,0.386758,0.200865,0.257619,0.240623,0.053228,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.5, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk2_clip1.5_inh0.18_midfat,24,0,0.62567,39.583333,0.125,0.81864,0.033333,0.263788,-0.125,0.166667,0.083333,0.041667,0.0,0.485193,0.1291,0.309671,0.222569,0.172405,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk2_clip1.2_inh0.18_midfat,24,0,0.612741,34.0,0.125,0.792964,0.008333,0.251259,-0.166667,0.125,0.0,0.166667,-0.083333,0.540277,0.119981,0.260805,0.251651,0.083582,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.2, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk3_clip1.2_inh0.18_midfat,24,0,0.538057,33.5,0.083333,0.845795,-0.075,0.233459,-0.083333,-0.125,0.0,-0.041667,-0.125,0.57038,0.093858,0.270755,0.133987,0.098316,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk3_clip1.5_inh0.18_midfat,24,0,0.524619,35.833333,0.083333,0.851854,-0.05,0.22767,-0.041667,0.041667,0.0,-0.083333,-0.166667,0.544189,0.130706,0.312293,0.11524,0.035924,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.5, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.5_inh0.12_midfat,24,0,0.465133,36.333333,0.083333,0.862751,-0.058333,0.222396,-0.166667,0.041667,0.041667,0.0,-0.208333,0.489658,0.202131,0.23778,0.175416,0.006993,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.8_inh0.12_midfat,24,0,0.397444,41.125,0.041667,0.902585,-0.15,0.203867,-0.041667,-0.208333,-0.166667,-0.25,-0.083333,0.619479,0.123828,0.233493,0.059701,-0.017167,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.8, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.5_inh0.18_midfat,24,0,0.388381,39.625,0.041667,0.8946,-0.108333,0.182528,-0.083333,-0.125,-0.083333,-0.166667,-0.083333,0.394859,0.143913,0.171799,0.121432,0.080639,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
