config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
thr0.64_topk2_clip1.5_inh0.18_midfat,24,0,1.067551,24.625,0.083333,0.827765,0.091667,0.344717,0.083333,0.291667,0.083333,0.166667,-0.166667,0.573676,0.124896,0.430717,0.373259,0.221035,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.70_topk3_clip1.2_inh0.18_midfat,24,0,0.943813,29.708333,0.083333,0.829671,0.108333,0.290349,-0.041667,0.375,0.166667,0.208333,-0.166667,0.494767,0.159733,0.378298,0.288714,0.130235,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.2_inh0.12_midfat,24,0,0.940269,28.958333,0.083333,0.848056,0.083333,0.314582,0.125,0.208333,-0.041667,0.166667,-0.041667,0.520945,0.022335,0.368919,0.360143,0.300568,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.2_inh0.18_midfat,24,0,0.869491,24.958333,0.083333,0.818694,0.133333,0.267406,0.041667,0.25,0.125,0.25,0.0,0.273214,0.086971,0.345296,0.363656,0.267895,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.2, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.8_inh0.12_midfat,24,0,0.821968,24.875,0.083333,0.826618,0.091667,0.272786,0.083333,0.291667,0.083333,0.125,-0.125,0.370941,0.046648,0.357626,0.287711,0.301002,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.8, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.70_topk3_clip1.2_inh0.12_midfat,24,0,0.7761,26.958333,0.125,0.804318,0.1,0.291199,0.125,0.166667,0.083333,0.125,0.0,0.313326,0.015843,0.411983,0.348752,0.366092,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.8_inh0.18_midfat,24,0,0.75592,26.791667,0.041667,0.857136,0.016667,0.235989,0.0,0.208333,0.041667,0.041667,-0.208333,0.474467,0.030019,0.280265,0.239485,0.15571,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.8, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk3_clip1.2_inh0.12_midfat,24,0,0.66699,28.333333,0.166667,0.761891,0.066667,0.321075,0.041667,0.166667,0.041667,0.125,-0.041667,0.400197,0.020755,0.514218,0.325384,0.344821,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk3_clip1.2_inh0.12_midfat,24,0,0.657384,29.25,0.125,0.808653,0.083333,0.258596,0.083333,0.25,0.0,0.166667,-0.083333,0.542302,0.043472,0.349365,0.232246,0.125597,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk2_clip1.5_inh0.12_midfat,24,0,0.611455,29.083333,0.125,0.801017,0.041667,0.251354,0.041667,0.166667,0.041667,0.041667,-0.083333,0.48664,0.047532,0.344407,0.208394,0.169798,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
